State_Name,District_Name,Market_Name,Commodity,Variety,Group,Arrivals_Tonnes,Min_Price_Rs._Quintal,Max_Price_Rs._Quintal,Modal_Price_Rs._Quintal,Reported_Date,Month,lag_1,lag_3,lag_7,lag_14,rolling_mean_7,rolling_mean_30,rolling_std_7,year,month,day,day_of_week,quarter,arrival_lag_7,arrival_roll_7
Maharashtra,Amarawati,Achalpur,Soyabean,Other,Oil Seeds,8.0,5600,6000,5800,2021-12-01,12,4800.0,5000.0,4775.0,3475.0,5042.857142857143,4687.166666666667,339.3358358968468,2021,12,1,2,4,32.0,105.42857142857143
Maharashtra,Amarawati,Achalpur,Soyabean,Other,Oil Seeds,48.0,5600,6210,5905,2021-12-02,12,5800.0,4900.0,4925.0,7150.0,5182.857142857143,4756.5,462.43789801854683,2021,12,2,3,4,69.0,102.42857142857143
Maharashtra,Amarawati,Achalpur,Soyabean,Other,Oil Seeds,70.0,5600,6200,5900,2021-12-03,12,5905.0,4800.0,4925.0,6700.0,5322.142857142857,4826.5,515.60528461587,2021,12,3,4,4,118.0,95.57142857142857
Maharashtra,Amarawati,Achalpur,Soyabean,Other,Oil Seeds,26.0,6000,6200,6100,2021-12-06,12,5900.0,5800.0,4950.0,6700.0,5486.428571428572,4913.166666666667,558.6793526233292,2021,12,6,0,4,20.0,96.42857142857143
Maharashtra,Amarawati,Achalpur,Soyabean,Other,Oil Seeds,6.0,6000,6250,6125,2021-12-07,12,6100.0,5905.0,5000.0,6850.0,5647.142857142857,4998.666666666667,557.2391552919446,2021,12,7,1,4,24.0,93.85714285714286
Maharashtra,Amarawati,Achalpur,Soyabean,Other,Oil Seeds,10.0,6000,6550,6275,2021-12-08,12,6125.0,5900.0,4900.0,8400.0,5843.571428571428,5087.833333333333,488.02078410072875,2021,12,8,2,4,14.0,93.28571428571429
Maharashtra,Amarawati,Achalpur,Soyabean,Other,Oil Seeds,16.0,6000,6650,6325,2021-12-09,12,6275.0,6100.0,4800.0,8000.0,6061.428571428572,5177.0,199.78559936664746,2021,12,9,3,4,485.0,26.285714285714285
Maharashtra,Amarawati,Achalpur,Soyabean,Other,Oil Seeds,61.0,6000,6600,6300,2021-12-10,12,6325.0,6125.0,5800.0,4775.0,6132.857142857143,5267.833333333333,179.04508610165163,2021,12,10,4,4,8.0,33.857142857142854
Maharashtra,Amarawati,Achalpur,Soyabean,Other,Oil Seeds,1.0,6000,6500,6250,2021-12-11,12,6300.0,6275.0,5905.0,4925.0,6182.142857142857,5355.333333333333,151.18578920370774,2021,12,11,5,4,48.0,27.142857142857142
Maharashtra,Amarawati,Achalpur,Soyabean,Other,Oil Seeds,28.0,6000,6200,6100,2021-12-16,12,6250.0,6325.0,5900.0,4925.0,6210.714285714285,5437.833333333333,98.80235200596154,2021,12,16,3,4,70.0,21.142857142857142
