Date,Market_Name,Actual,Predicted
2024-01-03,Achalpur,4600,4632.17525692331
2024-01-05,Achalpur,4550,4645.825435638795
2024-01-06,Achalpur,4550,4597.72261472141
2024-01-08,Achalpur,4550,4540.401491982115
2024-01-11,Achalpur,4525,4567.442727938158
2024-01-16,Achalpur,4525,4570.183750836206
2024-01-23,Achalpur,4450,4540.450498176078
2024-01-26,Achalpur,4325,4469.99115266712
2024-01-27,Achalpur,4350,4399.808788706119
2024-01-29,Achalpur,4400,4395.010918889206
2024-01-31,Achalpur,4350,4430.384873510458
2024-02-02,Achalpur,4200,4350.2668886247175
2024-02-07,Achalpur,4175,4209.18175687755
2024-02-08,Achalpur,4325,4208.835137161272
2024-02-12,Achalpur,4290,4343.292105012893
2024-02-15,Achalpur,4150,4299.660172873329
2024-02-16,Achalpur,4213,4160.628996687323
2024-02-19,Achalpur,4225,4175.693183468531
2024-02-20,Achalpur,4288,4281.5087473161
2024-02-21,Achalpur,4288,4314.118780625387
2024-02-22,Achalpur,4325,4274.0771139779645
2024-02-23,Achalpur,4200,4267.11611558422
2024-02-29,Achalpur,4185,4247.196054465043
2024-03-01,Achalpur,4175,4202.035261779669
2024-03-02,Achalpur,4150,4230.134212389472
2024-03-04,Achalpur,4265,4195.017865771051
2024-03-06,Achalpur,4200,4233.029248705352
2024-03-11,Achalpur,4265,4190.897043475043
2024-03-13,Achalpur,4225,4213.430629453691
2024-03-14,Achalpur,4320,4250.456488645885
2024-03-15,Achalpur,4300,4295.082520988237
2024-03-19,Achalpur,4320,4327.2294906711195
2024-03-21,Achalpur,4190,4262.730879424271
2024-03-22,Achalpur,4300,4252.356031229292
2024-03-28,Achalpur,4208,4259.224718817537
2024-04-01,Achalpur,4250,4305.719786774254
2024-04-02,Achalpur,4200,4243.059965416243
2024-04-05,Achalpur,4350,4272.471197243292
2024-04-15,Achalpur,4500,4329.2077989753
2024-04-22,Achalpur,4350,4463.7577365362395
2024-04-29,Achalpur,4275,4319.9717204965145
2024-05-06,Achalpur,4350,4277.091924780652
2024-05-13,Achalpur,4275,4349.526224112822
2024-05-16,Achalpur,4215,4360.778591868235
2024-05-17,Achalpur,4300,4274.843272439659
2024-05-18,Achalpur,4300,4269.760135904182
2024-05-20,Achalpur,4350,4313.360801943465
2024-05-23,Achalpur,4350,4333.927942335567
2024-05-24,Achalpur,4300,4316.246584255114
